"TOA5","MarMenorIP","CR1000X","25703","CR1000X.Std.06.00","CPU:MarMenor7-final.CR1X","33968","OutputDiag"
"TIMESTAMP","RECORD","Anonymous1","PTemp_C_Avg","PTemp_C_Max","PTemp_C_Min","VBatt_Avg","VBatt_Max","VBatt_Min","IBatt_Avg","IBatt_Max","IBatt_Min","ILoad_Avg","ILoad_Max","ILoad_Min","V_in_chg_Avg","V_in_chg_Max","V_in_chg_Min","I_in_chg_Avg","I_in_chg_Max","I_in_chg_Min","ChargeTime","Anonymous2","Anonymous3","Anonymous4","Anonymous5","Anonymous6","Anonymous7","Anonymous8","Anonymous9","Anonymous10","Anonymous11","Anonymous12","Anonymous13","Anonymous14","Anonymous15","Anonymous16","Anonymous17","Anonymous18"
"2023-05-27 00:00:00",8,"MarMenor7",25.7,29.17,22.88,13.46,14.55,12.55,0.1513119,1.2647,-0.4534,0.2790856,0.455,0.24,11.68,21.7,0.043,0.3608767,1.3507,0,11.57,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-05-28 00:00:00",9,"MarMenor7",25.15,27.61,23.53,13.34,14.58,12.61,0.02362593,1.1229,-0.4511,0.2810759,0.4528,0.2361,10.94,21.43,0.043,0.2581528,1.2847,0,11.27,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-05-29 00:00:00",10,"MarMenor7",25.89,32.62,23.04,13.19,14.5,12.52,0.05101587,1.2274,-0.4537,0.2822827,0.4559,0.1407,10.67,21.27,0.043,0.2845713,1.3154,0,11.14,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-05-30 00:00:00",11,"MarMenor7",27.37,33.81,21.75,13.42,14.46,12.52,0.07375744,1.1733,-0.4537,0.2829318,0.4553,0.2608,11.54,21.85,0.043,0.3025635,1.2782,0,11.6,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-05-31 00:00:00",12,"MarMenor7",26.81,32.84,23.5,13.3,14.58,12.56,0.0472785,1.1201,-0.4494,0.2799891,0.4515,0.14,11.05,21.41,0.046,0.2809026,1.2302,0,11.47,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-06-01 00:00:00",13,"MarMenor7",27.38,32.34,23.15,13.57,14.54,12.56,0.0631913,1.188,-0.4332,0.2590043,0.4368,0.2231,11.8,21.47,0.044,0.2768997,1.2861,0,11.8,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-06-02 00:00:00",14,"MarMenor7",26.97,32.39,23.05,13.48,14.54,12.56,0.04743834,1.1464,-0.4335,0.2598405,0.4352,0.2266,11.88,22.14,0.043,0.260614,1.2333,0,11.62,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-06-03 00:00:00",15,"MarMenor7",26.24,30.09,24.36,13.22,14.52,12.61,0.02515563,1.1847,-0.4304,0.261741,0.4321,0.1411,11.45,22.03,0.043,0.2414019,1.3534,0,11.64,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-06-04 00:00:00",16,"MarMenor7",26.38,30.51,23.95,13.23,14.55,12.59,0.06029597,1.354,-0.4318,0.2655498,0.4335,0.223,11.49,22.17,0.046,0.2756725,1.3721,0,11.62,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-06-05 00:00:00",17,"MarMenor7",27.21,30.86,23.9,13.3,14.47,12.62,0.04653298,1.0693,-0.4369,0.2617298,0.4386,0.1408,12.48,22.3,0.053,0.2527685,1.1728,0,11.9,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-06-06 00:00:00",18,"MarMenor7",28.08,33.45,23.67,13.28,14.47,12.62,0.03381316,1.0143,-0.4305,0.2628779,0.4322,0.2294,12.55,21.62,0.053,0.2438025,1.1816,0,11.97,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-06-07 00:00:00",19,"MarMenor7",27.81,32.27,24.46,13.26,14.46,12.61,0.02833413,1.3504,-0.4331,0.266533,0.4348,0.2389,12.35,22.08,0.05,0.2429904,1.3922,0,11.82,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-06-08 00:00:00",20,"MarMenor7",25.59,26.96,24.4,12.85,13.27,12.55,-0.1120017,0.3022,-0.4325,0.2684619,0.4342,0.1409,10.27,19.54,0.046,0.1377342,0.4972,0,11.24,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-06-09 00:00:00",21,"MarMenor7",26.72,30.24,24.15,13.08,14.45,12.51,0.1282137,1.8546,-0.421,0.2613932,0.4227,0.2301,10.63,20.97,0.044,0.3434086,1.8951,0,11.67,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-06-10 00:00:00",22,"MarMenor7",29.53,34.93,24.66,13.3,14.4,12.62,0.1043312,1.0369,-0.4265,0.2580012,0.428,0.1392,11.78,22.12,0.043,0.3073689,1.1716,0,11.77,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-06-11 00:00:00",23,"MarMenor7",30.93,36.39,26.09,13.25,14.14,12.64,0.04310093,1.2128,-0.4358,0.2644259,0.4374,0.2415,12.1,21.64,0.043,0.2595554,1.3292,0,11.92,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-06-12 00:00:00",24,"MarMenor7",29.9,35.76,25.58,13.18,14.37,12.62,0.03427291,1.0517,-0.4285,0.2670133,0.4313,0.2367,11.79,22.19,0.043,0.2526924,1.1461,0,11.88,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
"2023-06-13 00:00:00",25,"MarMenor7",28.94,33.37,25.68,13.23,14.4,12.62,0.03209867,1.3059,-0.4336,0.2673421,0.4352,0.1405,11.79,22.09,0.043,0.2503268,1.3444,0,11.72,1.051088,1.034767,1.038571,0.9830996,-782.5366,0.9990537,-1188.402,0.9850988,-962.9008,0.9859024,-822.9496,1.000524,-1201.934,0.9843644,-871.7987,0.000720486,-3.477148
